bundle,arm,episodes,compared_steps,agreement_rate,clean_success_rate
B00,bc_base,200,7260,0.453444,0.83
B01,bc_base,200,8009,0.33375,0.795
B02,bc_base,200,9319,0.285546,0.74
B03,bc_base,200,7913,0.475167,0.8
B04,bc_base,200,9356,0.290723,0.74
B05,bc_base,200,5907,0.657186,0.89
B00,extra_demonstrations,200,6270,0.483732,0.865
B01,extra_demonstrations,200,7166,0.439576,0.83
B02,extra_demonstrations,200,6555,0.508772,0.855
B03,extra_demonstrations,200,6297,0.498809,0.865
B04,extra_demonstrations,200,7419,0.461787,0.82
B05,extra_demonstrations,200,6769,0.518097,0.85
B00,recovery_aggregation,200,5086,0.680889,0.915
B01,recovery_aggregation,200,6252,0.673225,0.87
B02,recovery_aggregation,200,6010,0.638103,0.88
B03,recovery_aggregation,200,5417,0.701865,0.91
B04,recovery_aggregation,200,5524,0.696597,0.9
B05,recovery_aggregation,200,6250,0.61984,0.88
