bundle,arm,assigned,both_delivered,success_rate
B00,bc_base,200,179,0.725
B01,bc_base,200,176,0.62
B02,bc_base,200,177,0.645
B03,bc_base,200,176,0.74
B04,bc_base,200,176,0.64
B05,bc_base,200,174,0.825
B00,extra_demonstrations,200,179,0.77
B01,extra_demonstrations,200,176,0.72
B02,extra_demonstrations,200,174,0.76
B03,extra_demonstrations,200,175,0.825
B04,extra_demonstrations,200,176,0.69
B05,extra_demonstrations,200,174,0.76
B00,recovery_aggregation,200,177,0.89
B01,recovery_aggregation,200,174,0.87
B02,recovery_aggregation,200,176,0.855
B03,recovery_aggregation,200,175,0.89
B04,recovery_aggregation,200,175,0.855
B05,recovery_aggregation,200,175,0.885
