bundle,arm,round,revealed_targets,oracle_calls,simulator_steps,discarded_recommendations,episodes,cumulative_base_exposures,cumulative_new_exposures,cumulative_updates
B00,extra_demonstrations,1,250,250,250,0,17,128000,32000,2000
B00,extra_demonstrations,2,250,250,250,0,20,128000,32000,2000
B00,extra_demonstrations,3,250,250,250,0,19,128000,32000,2000
B00,extra_demonstrations,4,250,250,250,0,21,128000,32000,2000
B00,recovery_aggregation,1,250,1664,1664,1414,42,128000,32000,2000
B00,recovery_aggregation,2,250,1579,1579,1329,52,128000,32000,2000
B00,recovery_aggregation,3,250,1083,1083,833,52,128000,32000,2000
B00,recovery_aggregation,4,250,1423,1423,1173,42,128000,32000,2000
B01,extra_demonstrations,1,250,250,250,0,17,128000,32000,2000
B01,extra_demonstrations,2,250,250,250,0,20,128000,32000,2000
B01,extra_demonstrations,3,250,250,250,0,19,128000,32000,2000
B01,extra_demonstrations,4,250,250,250,0,21,128000,32000,2000
B01,recovery_aggregation,1,250,2826,2826,2576,41,128000,32000,2000
B01,recovery_aggregation,2,250,1507,1507,1257,53,128000,32000,2000
B01,recovery_aggregation,3,250,1279,1279,1029,52,128000,32000,2000
B01,recovery_aggregation,4,250,1534,1534,1284,43,128000,32000,2000
B02,extra_demonstrations,1,250,250,250,0,17,128000,32000,2000
B02,extra_demonstrations,2,250,250,250,0,20,128000,32000,2000
B02,extra_demonstrations,3,250,250,250,0,19,128000,32000,2000
B02,extra_demonstrations,4,250,250,250,0,21,128000,32000,2000
B02,recovery_aggregation,1,250,1908,1908,1658,41,128000,32000,2000
B02,recovery_aggregation,2,250,1828,1828,1578,51,128000,32000,2000
B02,recovery_aggregation,3,250,1321,1321,1071,52,128000,32000,2000
B02,recovery_aggregation,4,250,1222,1222,972,42,128000,32000,2000
B03,extra_demonstrations,1,250,250,250,0,17,128000,32000,2000
B03,extra_demonstrations,2,250,250,250,0,20,128000,32000,2000
B03,extra_demonstrations,3,250,250,250,0,19,128000,32000,2000
B03,extra_demonstrations,4,250,250,250,0,21,128000,32000,2000
B03,recovery_aggregation,1,250,1665,1665,1415,43,128000,32000,2000
B03,recovery_aggregation,2,250,1509,1509,1259,54,128000,32000,2000
B03,recovery_aggregation,3,250,987,987,737,51,128000,32000,2000
B03,recovery_aggregation,4,250,1392,1392,1142,43,128000,32000,2000
B04,extra_demonstrations,1,250,250,250,0,17,128000,32000,2000
B04,extra_demonstrations,2,250,250,250,0,20,128000,32000,2000
B04,extra_demonstrations,3,250,250,250,0,19,128000,32000,2000
B04,extra_demonstrations,4,250,250,250,0,21,128000,32000,2000
B04,recovery_aggregation,1,250,2461,2461,2211,40,128000,32000,2000
B04,recovery_aggregation,2,250,1583,1583,1333,50,128000,32000,2000
B04,recovery_aggregation,3,250,1555,1555,1305,55,128000,32000,2000
B04,recovery_aggregation,4,250,1095,1095,845,38,128000,32000,2000
B05,extra_demonstrations,1,250,250,250,0,17,128000,32000,2000
B05,extra_demonstrations,2,250,250,250,0,20,128000,32000,2000
B05,extra_demonstrations,3,250,250,250,0,19,128000,32000,2000
B05,extra_demonstrations,4,250,250,250,0,21,128000,32000,2000
B05,recovery_aggregation,1,250,1686,1686,1436,43,128000,32000,2000
B05,recovery_aggregation,2,250,2326,2326,2076,52,128000,32000,2000
B05,recovery_aggregation,3,250,1279,1279,1029,54,128000,32000,2000
B05,recovery_aggregation,4,250,1397,1397,1147,44,128000,32000,2000
