arm,slice,scheduled_time,successes,assigned,success_rate
bc_base,matched,2,559,792,0.705808
bc_base,matched,4,506,792,0.638889
bc_base,matched,6,476,744,0.639785
bc_base,matched,8,609,888,0.685811
extra_demonstrations,matched,2,591,792,0.746212
extra_demonstrations,matched,4,560,792,0.707071
extra_demonstrations,matched,6,521,744,0.700269
extra_demonstrations,matched,8,660,888,0.743243
recovery_aggregation,matched,2,673,792,0.849747
recovery_aggregation,matched,4,681,792,0.859848
recovery_aggregation,matched,6,643,744,0.864247
recovery_aggregation,matched,8,759,888,0.85473
bc_base,unseen,3,747,1164,0.641753
bc_base,unseen,5,747,1140,0.655263
bc_base,unseen,7,621,912,0.680921
extra_demonstrations,unseen,3,786,1164,0.675258
extra_demonstrations,unseen,5,814,1140,0.714035
extra_demonstrations,unseen,7,659,912,0.722588
recovery_aggregation,unseen,3,988,1164,0.848797
recovery_aggregation,unseen,5,947,1140,0.830702
recovery_aggregation,unseen,7,784,912,0.859649
