bundle,arm,slice,success,step_limit_truncation,terminated_without_goal,assigned
B00,bc_base,clean,408,128,0,536
B01,bc_base,clean,382,154,0,536
B02,bc_base,clean,395,141,0,536
B03,bc_base,clean,427,109,0,536
B04,bc_base,clean,382,154,0,536
B05,bc_base,clean,459,77,0,536
B00,extra_demonstrations,clean,447,89,0,536
B01,extra_demonstrations,clean,419,117,0,536
B02,extra_demonstrations,clean,429,107,0,536
B03,extra_demonstrations,clean,442,94,0,536
B04,extra_demonstrations,clean,404,132,0,536
B05,extra_demonstrations,clean,441,95,0,536
B00,recovery_aggregation,clean,472,64,0,536
B01,recovery_aggregation,clean,450,86,0,536
B02,recovery_aggregation,clean,463,73,0,536
B03,recovery_aggregation,clean,470,66,0,536
B04,recovery_aggregation,clean,454,82,0,536
B05,recovery_aggregation,clean,459,77,0,536
B00,bc_base,matched,342,194,0,536
B01,bc_base,matched,331,205,0,536
B02,bc_base,matched,325,211,0,536
B03,bc_base,matched,399,137,0,536
B04,bc_base,matched,318,218,0,536
B05,bc_base,matched,435,101,0,536
B00,extra_demonstrations,matched,384,152,0,536
B01,extra_demonstrations,matched,366,170,0,536
B02,extra_demonstrations,matched,392,144,0,536
B03,extra_demonstrations,matched,409,127,0,536
B04,extra_demonstrations,matched,362,174,0,536
B05,extra_demonstrations,matched,419,117,0,536
B00,recovery_aggregation,matched,467,69,0,536
B01,recovery_aggregation,matched,458,78,0,536
B02,recovery_aggregation,matched,450,86,0,536
B03,recovery_aggregation,matched,469,67,0,536
B04,recovery_aggregation,matched,451,85,0,536
B05,recovery_aggregation,matched,461,75,0,536
B00,bc_base,unseen,341,195,0,536
B01,bc_base,unseen,337,199,0,536
B02,bc_base,unseen,322,214,0,536
B03,bc_base,unseen,375,161,0,536
B04,bc_base,unseen,311,225,0,536
B05,bc_base,unseen,429,107,0,536
B00,extra_demonstrations,unseen,386,150,0,536
B01,extra_demonstrations,unseen,372,164,0,536
B02,extra_demonstrations,unseen,360,176,0,536
B03,extra_demonstrations,unseen,408,128,0,536
B04,extra_demonstrations,unseen,331,205,0,536
B05,extra_demonstrations,unseen,402,134,0,536
B00,recovery_aggregation,unseen,464,72,0,536
B01,recovery_aggregation,unseen,447,89,0,536
B02,recovery_aggregation,unseen,441,95,0,536
B03,recovery_aggregation,unseen,465,71,0,536
B04,recovery_aggregation,unseen,446,90,0,536
B05,recovery_aggregation,unseen,456,80,0,536
