bundle,arm,slice,assigned,delivered,delivery_rate
B00,bc_base,matched,536,526,0.981343
B01,bc_base,matched,536,525,0.979478
B02,bc_base,matched,536,524,0.977612
B03,bc_base,matched,536,522,0.973881
B04,bc_base,matched,536,523,0.975746
B05,bc_base,matched,536,522,0.973881
B00,extra_demonstrations,matched,536,523,0.975746
B01,extra_demonstrations,matched,536,526,0.981343
B02,extra_demonstrations,matched,536,523,0.975746
B03,extra_demonstrations,matched,536,520,0.970149
B04,extra_demonstrations,matched,536,524,0.977612
B05,extra_demonstrations,matched,536,522,0.973881
B00,recovery_aggregation,matched,536,522,0.973881
B01,recovery_aggregation,matched,536,526,0.981343
B02,recovery_aggregation,matched,536,523,0.975746
B03,recovery_aggregation,matched,536,525,0.979478
B04,recovery_aggregation,matched,536,523,0.975746
B05,recovery_aggregation,matched,536,521,0.972015
B00,bc_base,unseen,536,536,1.0
B01,bc_base,unseen,536,534,0.996269
B02,bc_base,unseen,536,535,0.998134
B03,bc_base,unseen,536,535,0.998134
B04,bc_base,unseen,536,535,0.998134
B05,bc_base,unseen,536,535,0.998134
B00,extra_demonstrations,unseen,536,536,1.0
B01,extra_demonstrations,unseen,536,534,0.996269
B02,extra_demonstrations,unseen,536,536,1.0
B03,extra_demonstrations,unseen,536,535,0.998134
B04,extra_demonstrations,unseen,536,536,1.0
B05,extra_demonstrations,unseen,536,535,0.998134
B00,recovery_aggregation,unseen,536,536,1.0
B01,recovery_aggregation,unseen,536,535,0.998134
B02,recovery_aggregation,unseen,536,536,1.0
B03,recovery_aggregation,unseen,536,534,0.996269
B04,recovery_aggregation,unseen,536,535,0.998134
B05,recovery_aggregation,unseen,536,534,0.996269
