bundle,arm,slice,successes,assigned,success_rate,delivered
B00,bc_base,clean,408,536,0.761194,0
B00,bc_base,matched,342,536,0.63806,526
B00,bc_base,unseen,341,536,0.636194,536
B00,extra_demonstrations,clean,447,536,0.833955,0
B00,extra_demonstrations,matched,384,536,0.716418,523
B00,extra_demonstrations,unseen,386,536,0.720149,536
B00,recovery_aggregation,clean,472,536,0.880597,0
B00,recovery_aggregation,matched,467,536,0.871269,522
B00,recovery_aggregation,unseen,464,536,0.865672,536
B01,bc_base,clean,382,536,0.712687,0
B01,bc_base,matched,331,536,0.617537,525
B01,bc_base,unseen,337,536,0.628731,534
B01,extra_demonstrations,clean,419,536,0.781716,0
B01,extra_demonstrations,matched,366,536,0.682836,526
B01,extra_demonstrations,unseen,372,536,0.69403,534
B01,recovery_aggregation,clean,450,536,0.839552,0
B01,recovery_aggregation,matched,458,536,0.854478,526
B01,recovery_aggregation,unseen,447,536,0.833955,535
B02,bc_base,clean,395,536,0.73694,0
B02,bc_base,matched,325,536,0.606343,524
B02,bc_base,unseen,322,536,0.600746,535
B02,extra_demonstrations,clean,429,536,0.800373,0
B02,extra_demonstrations,matched,392,536,0.731343,523
B02,extra_demonstrations,unseen,360,536,0.671642,536
B02,recovery_aggregation,clean,463,536,0.863806,0
B02,recovery_aggregation,matched,450,536,0.839552,523
B02,recovery_aggregation,unseen,441,536,0.822761,536
B03,bc_base,clean,427,536,0.796642,0
B03,bc_base,matched,399,536,0.744403,522
B03,bc_base,unseen,375,536,0.699627,535
B03,extra_demonstrations,clean,442,536,0.824627,0
B03,extra_demonstrations,matched,409,536,0.76306,520
B03,extra_demonstrations,unseen,408,536,0.761194,535
B03,recovery_aggregation,clean,470,536,0.876866,0
B03,recovery_aggregation,matched,469,536,0.875,525
B03,recovery_aggregation,unseen,465,536,0.867537,534
B04,bc_base,clean,382,536,0.712687,0
B04,bc_base,matched,318,536,0.593284,523
B04,bc_base,unseen,311,536,0.580224,535
B04,extra_demonstrations,clean,404,536,0.753731,0
B04,extra_demonstrations,matched,362,536,0.675373,524
B04,extra_demonstrations,unseen,331,536,0.617537,536
B04,recovery_aggregation,clean,454,536,0.847015,0
B04,recovery_aggregation,matched,451,536,0.841418,523
B04,recovery_aggregation,unseen,446,536,0.83209,535
B05,bc_base,clean,459,536,0.856343,0
B05,bc_base,matched,435,536,0.811567,522
B05,bc_base,unseen,429,536,0.800373,535
B05,extra_demonstrations,clean,441,536,0.822761,0
B05,extra_demonstrations,matched,419,536,0.781716,522
B05,extra_demonstrations,unseen,402,536,0.75,535
B05,recovery_aggregation,clean,459,536,0.856343,0
B05,recovery_aggregation,matched,461,536,0.860075,521
B05,recovery_aggregation,unseen,456,536,0.850746,534
