bundle,arm,slice,successes,assigned,median_step_ratio,mean_step_ratio
B00,bc_base,clean,408,536,1.0,1.176527
B01,bc_base,clean,382,536,1.0,1.186821
B02,bc_base,clean,395,536,1.0,1.109441
B03,bc_base,clean,427,536,1.0,1.192716
B04,bc_base,clean,382,536,1.0,1.156711
B05,bc_base,clean,459,536,1.0,1.273316
B00,extra_demonstrations,clean,447,536,1.0,1.15492
B01,extra_demonstrations,clean,419,536,1.0,1.168023
B02,extra_demonstrations,clean,429,536,1.0,1.11492
B03,extra_demonstrations,clean,442,536,1.0,1.167453
B04,extra_demonstrations,clean,404,536,1.0,1.137359
B05,extra_demonstrations,clean,441,536,1.0,1.198821
B00,recovery_aggregation,clean,472,536,1.0,1.237052
B01,recovery_aggregation,clean,450,536,1.0,1.30228
B02,recovery_aggregation,clean,463,536,1.0,1.205684
B03,recovery_aggregation,clean,470,536,1.0,1.238036
B04,recovery_aggregation,clean,454,536,1.0,1.240405
B05,recovery_aggregation,clean,459,536,1.0,1.210465
B00,bc_base,matched,342,536,1.2,1.414844
B01,bc_base,matched,331,536,1.222222,1.467425
B02,bc_base,matched,325,536,1.181818,1.355857
B03,bc_base,matched,399,536,1.181818,1.423539
B04,bc_base,matched,318,536,1.181818,1.386479
B05,bc_base,matched,435,536,1.222222,1.515421
B00,extra_demonstrations,matched,384,536,1.195238,1.460006
B01,extra_demonstrations,matched,366,536,1.2,1.451845
B02,extra_demonstrations,matched,392,536,1.2,1.402666
B03,extra_demonstrations,matched,409,536,1.222222,1.450401
B04,extra_demonstrations,matched,362,536,1.184659,1.380538
B05,extra_demonstrations,matched,419,536,1.2,1.487627
B00,recovery_aggregation,matched,467,536,1.2,1.41898
B01,recovery_aggregation,matched,458,536,1.222222,1.485113
B02,recovery_aggregation,matched,450,536,1.2,1.421465
B03,recovery_aggregation,matched,469,536,1.2,1.458157
B04,recovery_aggregation,matched,451,536,1.222222,1.464995
B05,recovery_aggregation,matched,461,536,1.222222,1.426703
B00,bc_base,unseen,341,536,1.333333,1.527795
B01,bc_base,unseen,337,536,1.222222,1.472037
B02,bc_base,unseen,322,536,1.242647,1.425945
B03,bc_base,unseen,375,536,1.352941,1.57484
B04,bc_base,unseen,311,536,1.235294,1.463161
B05,bc_base,unseen,429,536,1.333333,1.628029
B00,extra_demonstrations,unseen,386,536,1.285714,1.567357
B01,extra_demonstrations,unseen,372,536,1.240385,1.551551
B02,extra_demonstrations,unseen,360,536,1.222222,1.449585
B03,extra_demonstrations,unseen,408,536,1.25,1.491191
B04,extra_demonstrations,unseen,331,536,1.285714,1.502011
B05,extra_demonstrations,unseen,402,536,1.279221,1.601991
B00,recovery_aggregation,unseen,464,536,1.285714,1.546681
B01,recovery_aggregation,unseen,447,536,1.333333,1.583639
B02,recovery_aggregation,unseen,441,536,1.333333,1.57094
B03,recovery_aggregation,unseen,465,536,1.315789,1.59368
B04,recovery_aggregation,unseen,446,536,1.333333,1.560366
B05,recovery_aggregation,unseen,456,536,1.333333,1.639919
